Practice_trials.thisRepN,Practice_trials.thisTrialN,Practice_trials.thisN,Practice_trials.thisIndex,A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,A2_Blocks.thisRepN,A2_Blocks.thisTrialN,A2_Blocks.thisN,A2_Blocks.thisIndex,A2_trials.thisRepN,A2_trials.thisTrialN,A2_trials.thisN,A2_trials.thisIndex,keyPressRun_5.keys,keyPressRun_5.rt,keyPressRun_6.keys,keyPressRun_6.rt,keyPressRun_7.keys,keyPressRun_7.rt,keyPressTrial_3.keys,keyPressRun_3.keys,keyPressRun_3.rt,keyPressRun_9.keys,keyPressRun_9.rt,keyPressRun_4.keys,keyPressRun_4.rt,keyPressRun_12.keys,keyPressRun_12.rt,keyPressTrial.keys,keyPressTrial.rt,keyPressRun_15.keys,keyPressRun_15.rt,keyPressTrial_2.keys,keyPressTrial_2.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,5,0,5,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,5,0,5,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,l,0.5836137000000008,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,5,0,5,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,a,0.39976799999999457,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,5,0,5,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,l,0.8818252999999459,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,5,0,5,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,5,0,5,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,l,0.9166335999999546,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,5,0,5,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,5,0,5,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,5,0,5,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,5,0,5,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,l,0.6494112000000314,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,5,0,5,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,l,0.4837410999999747,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,6,0,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,l,0.5160671999999522,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,6,0,6,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,l,0.432855399999994,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,6,0,6,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,a,0.4781659000000218,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,6,0,6,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,l,0.4638535999999931,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,6,0,6,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,a,0.5000479999999925,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,6,0,6,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,l,0.5155571999999893,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,6,0,6,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,l,0.7821655000000192,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,6,0,6,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,l,0.3653371000000334,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,6,0,6,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,6,0,6,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,l,0.2809965999999804,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,6,0,6,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,6,0,6,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,l,0.3821599000000333,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,7,0,7,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,7,0,7,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,7,0,7,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,7,0,7,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,7,0,7,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,7,0,7,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,7,0,7,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,7,0,7,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,7,0,7,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,l,0.34903220000001056,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,7,0,7,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,a,0.5999802000000045,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,7,0,7,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,l,0.49959690000002865,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,7,0,7,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,l,0.5467572000000018,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,8.163762099999985,,,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,a,0.7548652000000402,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,a,0.5619011,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,l,0.3832757000000129,testRighty,2019_Jun_27_1346,untitled,3.0.1,60.04970914922838,
